                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8171,                 1.2895,                 1.2173,                0.61257,                 0.3783,                0.41154,                0.18458,                 2.0619,                 1.5896,                 1.2784,               0.006733,               0.006733,               0.006733
                     35,                 1.8056,                 1.2742,                 1.2186,                0.68868,                0.43994,                0.46393,                0.22611,                 2.0133,                 1.3985,                 1.2769,               0.006634,               0.006634,               0.006634
                     36,                 1.7953,                 1.2671,                 1.2342,                0.65283,                0.44774,                0.44986,                0.20299,                 2.0741,                 1.4922,                 1.3066,               0.006535,               0.006535,               0.006535
                     37,                 1.7627,                 1.2067,                 1.1921,                0.65901,                0.42748,                0.44035,                0.18179,                 2.2479,                 1.5899,                 1.3848,               0.006436,               0.006436,               0.006436
                     38,                 1.7497,                 1.1831,                 1.1879,                0.64929,                0.43195,                0.44102,                 0.2008,                 2.0998,                 1.5181,                 1.3023,               0.006337,               0.006337,               0.006337
                     39,                 1.7437,                 1.2037,                 1.1983,                0.73436,                0.45136,                0.47351,                0.22995,                 1.9394,                 1.4227,                 1.2369,               0.006238,               0.006238,               0.006238
                     40,                 1.7219,                 1.1671,                  1.183,                0.77759,                 0.3985,                0.44786,                0.20466,                  2.052,                 1.4789,                 1.2949,               0.006139,               0.006139,               0.006139
                     41,                 1.7138,                 1.1468,                  1.176,                0.66066,                  0.435,                0.45995,                 0.2175,                 2.0453,                 1.4487,                 1.2724,                0.00604,                0.00604,                0.00604
                     42,                  1.681,                 1.1319,                 1.1698,                0.68436,                0.42595,                0.43887,                0.22773,                 2.0257,                 1.4145,                 1.2561,               0.005941,               0.005941,               0.005941
                     43,                 1.6798,                 1.1058,                 1.1537,                0.69502,                0.45364,                0.48319,                0.23637,                  1.906,                 1.3849,                 1.2234,               0.005842,               0.005842,               0.005842
                     44,                 1.6622,                 1.1188,                 1.1592,                0.71739,                0.46693,                0.48043,                0.23094,                 1.9345,                 1.3244,                 1.2396,               0.005743,               0.005743,               0.005743
                     45,                 1.6804,                 1.0919,                 1.1641,                0.80366,                0.43497,                0.47423,                0.21121,                 2.0581,                 1.3949,                 1.2879,               0.005644,               0.005644,               0.005644
                     46,                 1.6418,                 1.0974,                 1.1441,                0.75008,                0.45911,                0.52332,                0.22882,                 2.0128,                 1.3394,                 1.2539,               0.005545,               0.005545,               0.005545
                     47,                 1.6165,                 1.0629,                 1.1285,                0.79429,                0.42889,                0.50395,                0.23504,                 1.9756,                  1.371,                 1.2421,               0.005446,               0.005446,               0.005446
                     48,                 1.6149,                 1.0589,                 1.1311,                0.72938,                0.47367,                0.50464,                0.25779,                 1.9633,                 1.3408,                 1.2565,               0.005347,               0.005347,               0.005347
                     49,                 1.5901,                 1.0325,                 1.1382,                0.70238,                0.48449,                0.52575,                0.24432,                 2.0064,                  1.262,                 1.2688,               0.005248,               0.005248,               0.005248
                     50,                 1.5762,                   1.02,                 1.1329,                0.70351,                0.48342,                 0.5197,                0.23802,                 1.9882,                 1.2795,                 1.2516,               0.005149,               0.005149,               0.005149
                     51,                 1.5632,                 1.0007,                 1.1212,                0.71984,                0.46669,                 0.5022,                0.25256,                 1.9358,                 1.2539,                 1.2249,                0.00505,                0.00505,                0.00505
                     52,                 1.5649,                 1.0013,                 1.1192,                0.80076,                0.46021,                0.50486,                0.24289,                 1.9772,                 1.3239,                 1.2501,               0.004951,               0.004951,               0.004951
                     53,                  1.578,                 1.0256,                 1.1281,                0.78675,                0.47068,                0.52212,                0.24682,                 2.0635,                 1.3452,                 1.3028,               0.004852,               0.004852,               0.004852
                     54,                 1.5317,                0.97883,                 1.1151,                0.78508,                0.47668,                0.51996,                0.25745,                 1.9013,                 1.2459,                 1.2263,               0.004753,               0.004753,               0.004753
                     55,                 1.5391,                0.97135,                 1.1073,                 0.9001,                  0.442,                0.51366,                0.26038,                 1.9592,                  1.298,                 1.2439,               0.004654,               0.004654,               0.004654
                     56,                 1.5176,                0.94271,                 1.0973,                 0.7259,                0.49508,                0.54891,                0.25678,                  1.931,                 1.2363,                 1.2485,               0.004555,               0.004555,               0.004555
                     57,                 1.5043,                0.94752,                 1.1092,                0.70818,                0.49178,                0.53045,                0.24275,                 2.0785,                 1.2887,                 1.2894,               0.004456,               0.004456,               0.004456
                     58,                 1.4822,                0.94022,                 1.0981,                0.78965,                0.48061,                0.54293,                0.28005,                 1.8751,                 1.2407,                 1.2261,               0.004357,               0.004357,               0.004357
                     59,                 1.5169,                0.96241,                 1.0969,                0.73912,                 0.4635,                0.52285,                0.25072,                 1.9801,                 1.1655,                 1.2561,               0.004258,               0.004258,               0.004258
                     60,                 1.5027,                0.92695,                 1.0777,                0.69969,                0.48763,                0.53509,                0.26476,                 1.8819,                 1.1704,                 1.2132,               0.004159,               0.004159,               0.004159
                     61,                 1.4938,                0.92418,                 1.0883,                0.66864,                0.49653,                0.53166,                0.26757,                 1.8269,                 1.2216,                 1.2057,                0.00406,                0.00406,                0.00406
                     62,                 1.4634,                0.91624,                 1.0749,                0.78143,                0.46967,                0.54351,                0.26994,                 1.9102,                 1.2641,                 1.2262,               0.003961,               0.003961,               0.003961
                     63,                 1.4507,                0.91595,                  1.069,                0.83267,                0.46817,                0.54307,                 0.2758,                 1.9009,                 1.1893,                 1.2479,               0.003862,               0.003862,               0.003862
                     64,                 1.4362,                0.89209,                 1.0539,                0.77536,                0.49207,                0.54009,                0.27735,                 1.9142,                 1.2205,                 1.2586,               0.003763,               0.003763,               0.003763
                     65,                 1.4066,                0.86814,                 1.0556,                 0.7611,                0.49296,                0.53187,                0.27665,                 1.8635,                 1.1623,                  1.234,               0.003664,               0.003664,               0.003664
                     66,                 1.4012,                0.87263,                  1.062,                0.71906,                0.49841,                0.54422,                0.27538,                 1.8487,                 1.1636,                 1.2201,               0.003565,               0.003565,               0.003565
                     67,                 1.4383,                0.89214,                 1.0679,                 0.7907,                 0.4873,                0.53351,                0.26062,                  1.862,                 1.1888,                 1.2165,               0.003466,               0.003466,               0.003466
                     68,                  1.444,                0.89888,                 1.0686,                0.82185,                0.45733,                0.54005,                0.28195,                 1.8247,                 1.2162,                  1.206,               0.003367,               0.003367,               0.003367
                     69,                 1.3918,                0.84247,                 1.0599,                0.72857,                 0.4694,                0.53379,                0.26657,                 1.9218,                 1.1219,                 1.2264,               0.003268,               0.003268,               0.003268
                     70,                 1.4098,                0.86952,                 1.0579,                0.81167,                0.49347,                0.55963,                0.28676,                 1.8128,                 1.1547,                  1.201,               0.003169,               0.003169,               0.003169
                     71,                 1.3583,                0.83652,                 1.0463,                0.79226,                0.44519,                 0.5292,                0.26726,                  1.873,                 1.1546,                 1.2171,                0.00307,                0.00307,                0.00307
                     72,                 1.3683,                0.83699,                 1.0468,                0.88624,                0.47584,                0.57264,                0.27937,                 1.9067,                 1.1559,                 1.2265,               0.002971,               0.002971,               0.002971
                     73,                 1.3486,                0.81727,                  1.043,                0.74729,                0.50671,                0.56996,                 0.2986,                  1.833,                 1.1562,                 1.2042,               0.002872,               0.002872,               0.002872
                     74,                 1.3636,                0.83758,                  1.047,                0.76686,                0.49205,                 0.5683,                0.28589,                 1.8539,                 1.1559,                 1.2111,               0.002773,               0.002773,               0.002773
                     75,                 1.3324,                0.81491,                 1.0369,                0.76204,                0.49936,                0.54231,                0.26598,                  1.842,                 1.1618,                 1.2055,               0.002674,               0.002674,               0.002674
                     76,                 1.3535,                 0.8177,                 1.0365,                0.81809,                0.53101,                0.59024,                0.29866,                 1.8268,                 1.1088,                 1.1957,               0.002575,               0.002575,               0.002575
                     77,                 1.3445,                0.79599,                 1.0314,                0.76287,                0.48472,                 0.5463,                0.28038,                 1.8569,                 1.1744,                 1.2041,               0.002476,               0.002476,               0.002476
                     78,                 1.3122,                0.78299,                 1.0285,                0.88324,                0.47043,                 0.5554,                0.28199,                 1.8731,                 1.1306,                 1.2238,               0.002377,               0.002377,               0.002377
                     79,                 1.2854,                0.76689,                 1.0082,                0.83905,                0.48554,                0.54508,                 0.2848,                  1.868,                 1.1428,                 1.2372,               0.002278,               0.002278,               0.002278
                     80,                 1.3144,                0.79716,                 1.0228,                0.77915,                0.55075,                0.59666,                0.28744,                 1.8557,                 1.1567,                 1.2165,               0.002179,               0.002179,               0.002179
                     81,                 1.2618,                0.75398,                 1.0175,                0.85768,                0.49789,                0.58607,                0.30541,                 1.8145,                 1.1108,                 1.1981,                0.00208,                0.00208,                0.00208
                     82,                 1.3022,                0.78253,                 1.0156,                0.80365,                0.52197,                0.61307,                0.29645,                  1.872,                 1.1457,                 1.2229,               0.001981,               0.001981,               0.001981
                     83,                 1.2793,                0.76328,                 1.0099,                0.83739,                  0.497,                0.57492,                0.29383,                  1.838,                 1.1489,                 1.2044,               0.001882,               0.001882,               0.001882
                     84,                 1.2757,                0.74476,                 1.0206,                0.86921,                0.48959,                0.57833,                0.29867,                 1.8573,                 1.1475,                 1.2264,               0.001783,               0.001783,               0.001783
                     85,                 1.2863,                0.76933,                 1.0207,                0.81846,                0.54106,                0.59986,                0.29925,                 1.8563,                  1.137,                  1.229,               0.001684,               0.001684,               0.001684
                     86,                 1.2831,                0.76795,                 1.0237,                0.71898,                0.53582,                 0.5826,                0.30284,                 1.8209,                 1.1084,                  1.219,               0.001585,               0.001585,               0.001585
                     87,                 1.2688,                0.76334,                 1.0251,                0.75628,                0.52114,                 0.5799,                0.29554,                 1.8264,                 1.0949,                 1.2203,               0.001486,               0.001486,               0.001486
                     88,                  1.227,                0.73885,                0.99994,                0.70387,                0.53101,                0.57848,                 0.3094,                 1.7928,                 1.1002,                 1.2034,               0.001387,               0.001387,               0.001387
                     89,                 1.2419,                0.73619,                 1.0048,                0.88073,                 0.5104,                0.59081,                0.30453,                 1.8471,                 1.1115,                 1.2107,               0.001288,               0.001288,               0.001288
                     90,                 1.2449,                0.73264,                 1.0113,                0.75574,                 0.5389,                0.58343,                0.29157,                 1.8894,                 1.1578,                 1.2426,               0.001189,               0.001189,               0.001189
                     91,                 1.2431,                0.74099,                 1.0035,                0.85893,                0.49419,                0.57965,                0.30006,                 1.8492,                 1.1288,                 1.2196,                0.00109,                0.00109,                0.00109
                     92,                 1.2166,                0.71916,                0.98614,                 0.8434,                0.51199,                0.59571,                0.30865,                 1.8074,                   1.12,                 1.2075,               0.000991,               0.000991,               0.000991
                     93,                 1.1848,                0.71081,                0.98389,                 0.7904,                0.53388,                0.58972,                0.29937,                 1.7944,                 1.1254,                 1.2109,               0.000892,               0.000892,               0.000892
                     94,                 1.1944,                0.71768,                0.99349,                0.74782,                0.54282,                0.59387,                0.30478,                 1.7789,                 1.0915,                 1.2034,               0.000793,               0.000793,               0.000793
                     95,                 1.2007,                 0.7066,                0.99254,                0.74905,                0.53484,                0.58622,                0.30279,                 1.7796,                 1.0632,                 1.2057,               0.000694,               0.000694,               0.000694
                     96,                  1.181,                0.69223,                0.98416,                0.88875,                0.51199,                0.59715,                0.31402,                 1.7737,                 1.0727,                 1.1981,               0.000595,               0.000595,               0.000595
                     97,                 1.1733,                0.69511,                0.99733,                0.87571,                0.50811,                0.59271,                0.30831,                 1.7725,                 1.0731,                 1.2019,               0.000496,               0.000496,               0.000496
                     98,                 1.1746,                 0.6969,                0.99582,                0.85323,                0.51816,                0.59988,                0.30947,                 1.7758,                 1.0818,                 1.1955,               0.000397,               0.000397,               0.000397
                     99,                 1.1468,                0.69371,                0.97646,                0.81907,                0.52952,                0.58898,                0.30495,                 1.7785,                 1.0701,                 1.2021,               0.000298,               0.000298,               0.000298
